"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","4.80865418169129","0.613990941117262","0.91510702099059","0.217343180857701","3.04064614519954","-0.792752329323553","-4.69646000732052","-2.56218639906053","-1.78223553987341","-3.49729150664996","-8.28805964230479","-1.00803036109064","-4.18347903386454","-10.1439569086651","-0.327523059360731","-0.135850360240092","0.127694549820565","3.77249199928312","-0.411896973671685","-4.78204293615307","-5.31244317187738","-5.6731506146362","-1.94499895270126","-4.83403725480626","-6.38864100782165","-11.2057222505032","-17.0539269972642","-25.74090199742","-21.7973306729886","-8.18150231666307","-1.9030145044976","0.47240619236303","-0.973570351440539","1.21578102455384","2.19248481630297","0.0183981701477746","3.10225979122961","3.24645323045642","0.574532429686938","1.65792966363519","1.46739369937022","0.247503356753086","-1.36191844989855","-1.15400085110463","-1.32219483858324","",
"Bahrain","BHR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","-18.47263492924","-22.7736566715177","-16.2902935599115","-17.0621593010365","-8.21855744120353","5.27643823831837","10.8929583178355","10.2657487280386","2.41720834151213","4.91684826496612","0.93512202911427","-1.98467309307339","-5.21995910209622","4.56125511624913","-4.3951963700182","1.4488136317136","-11.481611231833","-15.3010029246183","-5.73924658971001","-4.03727929015307","3.56902463707079","3.75350666887633","-0.430280546168262","-11.0564495394444","-0.489864567236579","9.16025901142394","2.51701963066081","-0.5173375765393","1.80990381150794","3.5861057173287","9.23180920590181","11.8210087744717","13.3758607441786","8.77793644624144","2.44123386880183","2.87276100092279","10.8553403651519","8.06539982681225","7.12443578913414","4.38061668747352","-2.31252912932775","-4.40558716045662","-4.30051876437292","-6.15289066217848","-1.9640978432404","-9.05383693445987","6.37213530677418","14.7198235888135","5.84398348945117","4.84382883306724","",
"Bahamas, The","BHS","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","10.6058246379069","4.05329593267882","0.288322921672273","-3.76381788350431","-5.63918220624579","-9.80722046968104","-7.31166444909079","-5.8056325023084","-4.91401695164372","-0.116344211502745","0.930232558139535","-2.01915998596758","-2.35991341069591","-2.74983670803396","-1.15603284902085","-5.77919489836588","1.15149565776777","1.57373868046572","-1.29487572875115","-4.25488480606591","-7.29564976447769","-7.45535629686247","-14.5670708684925","-4.22180125379529","-7.8368767543246","-7.75394544009676","-4.76646866689711","-5.33827728918196","-3.39160866189817","-7.12305028440183","-13.8061914480317","-12.3851568041165","-11.6100892944233","-8.10442037435534","-8.0632166374795","-11.9472714724764","-14.0368120592515","-14.2614149475433","-16.9249150364207","-10.1639297057562","-5.98258988449718","-12.6509094143141","-8.70002668448313","-2.60210078588536","-22.0443509738872","-20.2208763533214","-8.86961547540973","-7.00069253380099","-6.64860795366669","",
"Bosnia and Herzegovina","BIH","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.38303905254982","-10.6978182461914","-7.10679339873963","-12.8061436346752","-17.6964510993081","-19.1912783102526","-16.1406064974205","-16.4343905974533","-7.75838583374484","-9.1904275912974","-13.8327998426086","-6.44520702910113","-6.00046399403906","-9.47919944225313","-8.62595020271331","-5.32585810441448","-7.35085819638821","-5.03540535932255","-4.69867088432468","-4.77878216555827","-3.23062992301101","-2.59691879205515","-2.83951836354719","-1.47256667780381","-4.39073525599636","-2.13517331506525","-3.47047618167401","",
"Belarus","BLR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.67279898477157","-2.97225278817512","-3.279971291319","-3.55782368148984","-6.08136433770411","-6.67782915883964","-1.59575083342586","-3.60449996573167","-4.28011087042602","-2.23160130536418","-2.55870194011727","-5.15047246548434","1.518035769229","-3.75494824327904","-6.6536778047307","-8.1620215300314","-12.0546848610717","-14.4678043936086","-8.18054584289411","-2.83500762120658","-10.0192566839897","-6.63303695478997","-3.24348147204402","-3.37736852773592","-1.74032515049902","0.0381469405173492","-1.93416658791779","-0.290687853658269","3.33503209952537","3.81254519379628","-1.03659609651183","-2.14397812062974","",
"Belize","BLZ","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","-1.82538315825728","3.15001740341107","3.83627608346709","2.53300997035839","-0.6169177838415","-3.87904703726329","2.80749417239215","-4.32391050443779","-4.11072422552554","-6.44728055367916","-5.1898196253618","-2.10685382583044","-0.781452952122277","-3.65785461270875","-6.4418161836807","-7.28129885720708","-14.1961321823555","-16.2421438938367","-13.2906443598953","-14.0861625835692","-11.0643857808538","-10.2571610027522","-1.59601197898101","-3.05300014756492","-8.33368485730916","-4.90747054418946","-2.61503524197613","-1.0891636773691","-1.72726539315554","-3.56655574064554","-6.35388372737354","-7.9675315662087","-7.29844356817201","-6.97409797709737","-6.59667558600349","-7.7543527144913","-6.24826598310846","-6.5003688908631","-8.2753170919124","-0.647401889300038","-1.61270028881818","",
"Bermuda","BMU","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3839518229167","17.9705408140267","12.990617442482","8.73439268120007","10.4899591972884","13.7436914712344","14.5337206234213","13.0015680806387","12.7467918685619","14.1692141819505","12.2608303872275","13.1637987135115","12.3021020474022","11.2979726598327","12.3973356197448","13.1996284714516","14.4112672754604","15.3894080314537","","",
"Bolivia","BOL","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","-1.95828379095249","-3.65305430389743","-8.82066301428154","-8.97918560396111","-0.14104746582299","-7.93748795554243","-3.10370178558973","-2.59714019505593","-2.88207283341222","-5.30565979052021","-9.81625208725518","-9.94113018636157","-6.62074085448543","-5.72734353963638","-4.08621725498031","-4.91460043574974","-9.45982310670761","-8.81476005818446","-1.50805282011654","-4.50473141321793","-5.133062205972","-6.9835778359685","-7.83878104393264","-5.890117136131","-5.31504626126908","-3.36560781532762","-4.4517556407836","0.935302518905602","3.84682632206803","6.5182863397886","11.5044547652471","12.1283006687241","11.9507379319002","4.6916976138782","4.44660536937585","2.24179461328449","7.2736779094105","3.4377206274777","1.71604883648801","-5.86726594426454","-5.61927215929092","-4.13313217775545","-3.56297103526121","-2.78472958459749","-0.0376136227262251","3.32421194395374","2.26510260577012","-2.23776284504888","-2.37784777133423","",
"Brazil","BRA","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","-5.39304045242405","-4.25673743516852","-2.86315218930506","-3.49313325979003","-4.75110025614202","-5.40495023928538","-4.55942175163155","-6.01406236239061","-3.60335647458237","0.017521506074345","-0.132777032570129","-2.07071987979993","-0.512971181312458","1.34986811010486","0.242620404807705","-0.978435952386691","-0.423222688518064","1.85533923420663","0.0054304179361759","-0.219464439580805","-2.35736569352814","-2.73368737115542","-3.63826178042493","-4.05145702418442","-4.46660492637973","-4.04774157195875","-4.44478598177802","-1.84525902808169","0.392877198829747","1.33863085372603","1.30988468509779","0.972710373980306","-0.197096994827677","-2.09933746626458","-1.75935802585413","-3.92594539867631","-3.19461785178244","-3.75941536826245","-3.57422104702554","-4.49883030905232","-3.5183920728161","-1.70011360207642","-1.22429942889483","-2.80752036371843","-3.41429111497121","-1.64103535066212","-2.35822088025659","-2.14967710619443","-1.23558182662996","-3.02715961462093","",
"Barbados","BRB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","-14.5427533985499","-20.9859441998281","-27.9915491270509","-27.7973143453167","-22.7300364442581","-21.7473950633072","-19.3581646856221","-18.4939178922161","-11.480033391045","-16.0272226102425","-9.58699381448163","-4.27708617531062","-6.28381057145856","-6.03004731335953","-11.8506944801428","-6.85036236223836","-7.09104607602574","-2.43451568198597","-0.374449432098751","2.60914725839359","-0.44886049218889","3.06423293681097","1.44605519225487","-0.354355356419997","-0.964043429645234","7.46893059258753","4.12217800577057","6.232814693169","0.0422416324366867","5.95962010341529","-3.20811236581199","-3.76918641701839","-4.48134518357529","-3.33993473383023","-3.64191735837973","-4.66106017866377","-5.86397699078632","-12.6937325840461","-12.9792521453765","-10.4893661741424","-7.42918018711688","-9.01616589623384","-8.53071833117839","-4.80094802192857","-3.06566203714413","-7.78444983691588","-4.45520535550838","-11.4856517303176","-1.73271064609934","-7.97219725105764","-5.21534372598635","","","","","","","","",
