country,year,gdp_growth,gdp_growth_change,inflation_change,unemployment_change
Nigeria,2021,1.109252539,7.478150944,1.84960109,0.508
Nigeria,2022,4.318829495,3.209576956,3.70682229,-0.31
Nigeria,2023,3.326845564,-0.991983931,1.89434206,-1.577
South Africa,2005,5.277051973,NULL,NULL,NULL
South Africa,2006,5.603806459,0.326754486,NULL,NULL
South Africa,2007,5.360474054,-0.243332405,1.181054572,-0.168
South Africa,2008,3.191043886,-2.169430168,2.933904494,-0.044
South Africa,2009,-1.538089135,-4.729133021,3.732172412,0.147
South Africa,2010,3.039732881,4.577822016,-2.671889322,1.116
South Africa,2011,3.168556279,0.128823398,-3.170599678,1.16
South Africa,2012,2.396232385,-0.772323894,0.933357828,-0.044
South Africa,2013,2.485468008,0.089235623,0.737118003,0.088
South Africa,2014,1.413826452,-1.071641556,0.04219771,-0.166
South Africa,2015,1.321862237,-0.091964215,0.35266043,0.329
South Africa,2016,0.664552308,-0.657309929,-1.614138582,0.259
South Africa,2017,1.157946952,0.493394644,2.084217475,1.387
South Africa,2018,1.556783847,0.398836895,-1.416721869,0.499
South Africa,2019,0.259935577,-1.29684827,-0.676313906,-0.129
South Africa,2020,-6.168917715,-6.428853292,-0.407021894,1.562
South Africa,2021,4.858648651,11.02756637,-0.870462439,0.749
South Africa,2022,2.058136617,-2.800512034,1.386357133,4.79
South Africa,2023,0.806104551,-1.252032066,2.421127276,-0.739
